city,trips_in_first_30_days,signup_date,avg_rating_of_driver,avg_surge,last_trip_date,phone,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver
Astapor,1,2014-01-09,,1.0,2014-04-29,iPhone,0.0,False,100.0,3.31,5.0
Winterfell,0,2014-01-24,,1.0,2014-05-02,iPhone,0.0,False,100.0,11.47,5.0
King's Landing,0,2014-01-21,5.0,1.0,2014-06-13,Android,0.0,True,100.0,7.74,5.0
Astapor,4,2014-01-19,4.5,1.02,2014-05-18,iPhone,9.1,False,36.4,2.1,4.7
Winterfell,1,2014-01-02,,1.0,2014-01-03,iPhone,0.0,True,100.0,14.48,5.0
Astapor,1,2014-01-16,4.0,1.0,2014-01-22,Android,0.0,False,100.0,1.6600000000000001,5.0
Winterfell,3,2014-01-19,5.0,1.05,2014-03-05,iPhone,20.0,False,100.0,3.05,5.0
Winterfell,0,2014-01-19,,1.5,2014-06-08,iPhone,100.0,False,0.0,5.97,5.0
Astapor,1,2014-01-27,4.0,1.0,2014-02-27,Android,0.0,False,100.0,11.25,5.0
Astapor,4,2014-01-26,5.0,1.0,2014-02-07,iPhone,0.0,True,25.0,6.12,4.8
Winterfell,1,2014-01-25,4.9,1.0,2014-06-14,iPhone,0.0,False,40.0,11.86,5.0
Winterfell,1,2014-01-05,4.0,2.0,2014-06-10,iPhone,100.0,False,100.0,10.01,5.0
Winterfell,1,2014-01-27,,1.0,2014-02-28,iPhone,0.0,True,100.0,4.48,5.0
Astapor,1,2014-01-16,,1.25,2014-01-17,Android,100.0,False,100.0,4.12,5.0
King's Landing,2,2014-01-17,5.0,1.0,2014-02-21,Android,0.0,False,100.0,14.16,5.0
Astapor,2,2014-01-21,,1.0,2014-06-25,iPhone,0.0,False,50.0,2.43,4.5
Astapor,0,2014-01-02,4.0,1.0,2014-04-26,iPhone,0.0,False,50.0,1.38,5.0
King's Landing,24,2014-01-22,4.9,1.04,2014-06-30,iPhone,5.8,True,61.6,4.69,4.8
King's Landing,1,2014-01-09,,1.0,2014-06-23,iPhone,0.0,True,100.0,13.73,5.0
Winterfell,2,2014-01-31,4.0,1.0,2014-02-01,iPhone,0.0,False,50.0,0.8300000000000001,5.0
Winterfell,0,2014-01-18,4.0,1.88,2014-05-10,iPhone,50.0,False,0.0,3.8,5.0
Winterfell,1,2014-01-25,4.0,1.5,2014-01-26,Android,100.0,False,0.0,5.72,5.0
Winterfell,1,2014-01-13,4.5,1.0,2014-03-17,iPhone,0.0,False,50.0,16.52,5.0
King's Landing,2,2014-01-22,5.0,1.0,2014-06-18,iPhone,0.0,True,66.7,1.4,5.0
Astapor,3,2014-01-10,4.0,1.0,2014-04-19,Android,0.0,False,50.0,3.0,4.2
Astapor,6,2014-01-20,5.0,1.33,2014-01-22,iPhone,33.3,False,100.0,2.93,5.0
Winterfell,1,2014-01-18,5.0,1.25,2014-01-19,iPhone,100.0,False,0.0,3.61,5.0
Winterfell,4,2014-01-04,4.8,1.0,2014-01-28,iPhone,0.0,False,100.0,1.75,4.8
Winterfell,2,2014-01-04,4.4,1.0,2014-06-19,iPhone,0.0,False,71.4,10.54,4.7
Winterfell,0,2014-01-04,5.0,1.25,2014-02-15,Android,100.0,False,0.0,3.25,5.0
Winterfell,4,2014-01-02,4.5,1.0,2014-05-02,Android,0.0,False,52.4,3.24,5.0
Winterfell,0,2014-01-12,5.0,1.0,2014-06-01,iPhone,0.0,False,80.0,4.98,5.0
Astapor,6,2014-01-17,4.4,1.56,2014-05-16,iPhone,22.2,True,22.2,3.15,4.8
Winterfell,2,2014-01-10,3.5,1.5,2014-06-15,iPhone,50.0,False,50.0,4.94,5.0
Winterfell,1,2014-01-04,4.0,1.0,2014-01-17,iPhone,0.0,False,100.0,36.01,5.0
Astapor,1,2014-01-09,2.5,1.0,2014-04-29,Android,0.0,False,100.0,23.49,5.0
Astapor,0,2014-01-31,4.3,1.0,2014-03-10,Android,0.0,False,66.7,10.21,5.0
Astapor,0,2014-01-05,5.0,1.0,2014-04-20,iPhone,0.0,False,40.0,2.6,5.0
Astapor,1,2014-01-25,5.0,1.25,2014-03-29,iPhone,100.0,False,0.0,6.05,4.5
Astapor,1,2014-01-04,,1.0,2014-01-05,iPhone,0.0,True,0.0,3.01,5.0
Astapor,1,2014-01-31,,1.0,2014-02-02,iPhone,0.0,False,0.0,4.66,5.0
King's Landing,0,2014-01-30,4.5,1.06,2014-05-09,iPhone,25.0,False,75.0,4.8100000000000005,4.8
Astapor,3,2014-01-29,4.8,1.03,2014-06-29,iPhone,5.4,False,54.1,2.21,4.8
Astapor,1,2014-01-11,,1.17,2014-05-04,Android,33.3,False,66.7,6.12,5.0
Winterfell,1,2014-01-20,5.0,1.0,2014-03-19,iPhone,0.0,False,75.0,10.37,5.0
Winterfell,1,2014-01-07,5.0,1.0,2014-01-28,iPhone,0.0,True,100.0,2.42,5.0
Winterfell,0,2014-01-18,5.0,1.0,2014-06-13,Android,0.0,False,100.0,1.8900000000000001,5.0
King's Landing,0,2014-01-01,5.0,1.0,2014-06-15,iPhone,0.0,True,0.0,4.44,5.0
Astapor,5,2014-01-18,3.9,1.09,2014-06-17,iPhone,10.5,True,63.2,2.61,4.8
Astapor,0,2014-01-08,5.0,1.0,2014-04-23,iPhone,0.0,False,100.0,4.46,5.0
Astapor,1,2014-01-01,5.0,1.0,2014-01-01,Android,0.0,False,100.0,1.02,5.0
Astapor,1,2014-01-07,5.0,1.0,2014-01-08,iPhone,0.0,False,100.0,0.0,3.0
Astapor,2,2014-01-19,5.0,1.0,2014-01-25,iPhone,0.0,False,0.0,37.11,5.0
King's Landing,7,2014-01-24,5.0,1.35,2014-06-10,iPhone,36.0,False,84.0,2.3,4.9
Winterfell,0,2014-01-21,5.0,1.0,2014-04-27,Android,0.0,False,0.0,1.45,4.0
Astapor,5,2014-01-26,4.8,1.0,2014-01-30,iPhone,0.0,False,100.0,2.47,5.0
Astapor,0,2014-01-01,,1.0,2014-02-03,iPhone,0.0,False,100.0,19.8,5.0
Winterfell,1,2014-01-23,5.0,1.0,2014-04-20,iPhone,0.0,False,0.0,1.82,4.0
Astapor,0,2014-01-23,5.0,1.0,2014-06-01,Android,0.0,True,66.7,10.49,5.0
Astapor,0,2014-01-12,4.0,1.5,2014-05-03,iPhone,25.0,False,50.0,3.99,5.0
Winterfell,1,2014-01-25,4.0,3.5,2014-02-05,Android,100.0,True,100.0,17.89,4.0
Winterfell,1,2014-01-06,4.0,1.11,2014-06-20,iPhone,18.2,True,81.8,4.61,4.8
King's Landing,7,2014-01-03,4.8,1.03,2014-06-29,iPhone,5.3,False,63.2,2.6,4.7
Astapor,0,2014-01-09,4.0,1.0,2014-06-30,iPhone,0.0,True,100.0,5.01,5.0
Winterfell,4,2014-01-27,5.0,1.0,2014-04-28,iPhone,0.0,False,100.0,2.42,4.8
King's Landing,9,2014-01-20,4.7,1.17,2014-05-25,iPhone,25.0,True,66.7,3.55,4.9
Winterfell,6,2014-01-23,5.0,1.0,2014-07-01,iPhone,0.0,True,67.6,3.06,4.7
King's Landing,3,2014-01-05,5.0,1.0,2014-06-29,iPhone,0.0,False,42.9,3.3,4.8
Astapor,0,2014-01-19,5.0,1.0,2014-05-18,iPhone,0.0,True,0.0,4.67,5.0
Winterfell,1,2014-01-10,5.0,1.0,2014-02-09,iPhone,0.0,False,0.0,6.28,
Astapor,3,2014-01-18,5.0,1.0,2014-06-26,Android,0.0,True,50.0,10.83,5.0
Winterfell,7,2014-01-02,3.7,1.0,2014-06-27,iPhone,0.0,False,55.2,1.55,4.5
Winterfell,5,2014-01-05,4.0,1.0,2014-05-28,Android,0.0,False,80.0,1.13,4.4
Astapor,1,2014-01-17,1.0,1.0,2014-01-18,iPhone,0.0,True,0.0,23.34,4.0
Astapor,1,2014-01-23,,1.0,2014-01-23,iPhone,0.0,True,100.0,1.35,4.0
Winterfell,11,2014-01-26,4.1,1.0,2014-07-01,iPhone,1.9,True,76.9,4.89,4.6
Astapor,4,2014-01-07,5.0,1.0,2014-01-11,Android,0.0,True,75.0,5.36,5.0
King's Landing,1,2014-01-18,4.3,1.02,2014-06-19,iPhone,10.0,False,90.0,4.2,5.0
Astapor,73,2014-01-27,4.9,1.0,2014-03-05,Android,0.0,True,89.7,2.86,4.9
Astapor,0,2014-01-17,,1.0,2014-06-02,iPhone,0.0,False,100.0,8.3,5.0
Astapor,1,2014-01-18,5.0,1.17,2014-05-25,Android,16.7,False,33.3,6.08,5.0
King's Landing,8,2014-01-31,4.2,1.0,2014-06-25,iPhone,0.0,True,50.0,2.15,4.9
Winterfell,2,2014-01-30,4.4,1.0,2014-06-22,iPhone,0.0,True,50.0,6.86,4.9
Winterfell,3,2014-01-01,3.0,1.0,2014-06-28,iPhone,0.0,True,63.6,4.08,4.9
Winterfell,0,2014-01-20,5.0,1.0,2014-06-23,Android,0.0,False,0.0,4.99,5.0
Astapor,0,2014-01-04,,1.0,2014-04-06,Android,0.0,False,0.0,1.63,5.0
King's Landing,14,2014-01-07,4.9,1.09,2014-06-29,iPhone,15.9,False,50.0,10.79,4.9
Astapor,1,2014-01-03,3.0,1.0,2014-01-08,iPhone,0.0,False,100.0,9.14,5.0
Astapor,1,2014-01-19,,1.0,2014-04-14,Android,0.0,False,66.7,3.07,5.0
Astapor,2,2014-01-25,5.0,1.0,2014-06-11,iPhone,0.0,True,50.0,5.25,5.0
King's Landing,1,2014-01-09,4.7,1.0,2014-06-17,iPhone,0.0,True,100.0,3.81,5.0
Astapor,1,2014-01-09,4.8,1.0,2014-06-29,iPhone,0.0,True,36.4,2.65,5.0
Winterfell,1,2014-01-01,5.0,1.0,2014-03-29,Android,0.0,False,33.3,10.29,3.7
Winterfell,1,2014-01-08,4.4,1.05,2014-06-28,Android,9.1,False,63.6,12.32,4.7
Astapor,0,2014-01-07,4.0,1.0,2014-04-09,iPhone,0.0,False,100.0,1.16,4.3
Winterfell,1,2014-01-10,5.0,1.0,2014-01-11,Android,0.0,False,100.0,0.0,5.0
Astapor,1,2014-01-10,2.5,1.63,2014-04-17,iPhone,50.0,False,100.0,2.64,5.0
Winterfell,0,2014-01-14,5.0,1.0,2014-06-10,iPhone,0.0,True,85.7,16.85,5.0
Astapor,1,2014-01-11,,2.5,2014-01-12,Android,100.0,False,0.0,4.14,5.0
Astapor,3,2014-01-15,4.3,1.06,2014-05-23,Android,11.1,True,88.9,2.67,4.9
Winterfell,2,2014-01-07,4.9,1.0,2014-06-15,iPhone,0.0,True,41.2,5.55,4.8
King's Landing,0,2014-01-17,5.0,1.0,2014-06-23,iPhone,0.0,False,0.0,1.58,5.0
Astapor,0,2014-01-25,5.0,1.0,2014-04-03,Android,0.0,True,33.3,1.78,5.0
Winterfell,0,2014-01-21,5.0,1.0,2014-06-05,iPhone,0.0,True,100.0,6.1,4.8
Winterfell,0,2014-01-10,4.4,1.32,2014-03-16,iPhone,20.0,True,90.0,8.14,4.6
Astapor,2,2014-01-16,5.0,1.0,2014-01-17,Android,0.0,False,100.0,6.04,4.5
Winterfell,2,2014-01-19,4.0,1.38,2014-06-28,Android,50.0,True,0.0,2.92,5.0
Astapor,0,2014-01-26,4.8,1.3,2014-04-20,iPhone,20.0,False,20.0,2.81,4.3
Winterfell,3,2014-01-11,5.0,1.0,2014-01-12,iPhone,0.0,False,0.0,2.0,5.0
Astapor,0,2014-01-31,4.5,1.0,2014-05-25,Android,0.0,True,0.0,7.4,5.0
Astapor,0,2014-01-12,5.0,1.0,2014-03-27,Android,0.0,False,100.0,1.2,4.0
King's Landing,0,2014-01-25,5.0,1.0,2014-06-06,iPhone,0.0,True,100.0,2.64,5.0
Winterfell,2,2014-01-10,3.8,1.06,2014-06-30,iPhone,25.0,True,37.5,3.33,4.8
King's Landing,0,2014-01-10,5.0,1.0,2014-06-11,,0.0,False,100.0,2.88,5.0
Winterfell,1,2014-01-17,,1.75,2014-01-18,iPhone,100.0,False,100.0,1.99,5.0
Winterfell,4,2014-01-19,4.9,1.0,2014-06-28,iPhone,0.0,False,43.8,3.22,4.5
Winterfell,1,2014-01-02,5.0,1.0,2014-01-03,iPhone,0.0,False,100.0,13.78,5.0
Astapor,0,2014-01-07,,1.0,2014-05-31,iPhone,0.0,True,0.0,8.2,5.0
King's Landing,4,2014-01-18,4.4,1.0,2014-06-13,iPhone,0.0,True,45.5,10.47,4.6
King's Landing,2,2014-01-18,5.0,1.0,2014-06-08,iPhone,0.0,True,16.7,2.27,5.0
Winterfell,3,2014-01-01,3.8,1.06,2014-05-25,Android,8.3,False,41.7,1.6800000000000002,4.7
King's Landing,1,2014-01-26,4.5,1.1,2014-06-25,iPhone,10.0,True,10.0,3.5700000000000003,4.8
King's Landing,2,2014-01-17,5.0,1.0,2014-06-23,iPhone,0.0,False,40.0,11.63,4.8
Winterfell,0,2014-01-16,5.0,1.0,2014-06-21,iPhone,0.0,True,100.0,0.9500000000000001,5.0
King's Landing,11,2014-01-04,5.0,1.03,2014-06-24,iPhone,2.3,True,57.5,4.86,4.7
Winterfell,0,2014-01-14,5.0,1.0,2014-03-28,iPhone,0.0,True,100.0,4.97,5.0
Winterfell,7,2014-01-25,3.7,1.09,2014-07-01,iPhone,3.8,False,57.7,5.44,4.6
Winterfell,0,2014-01-11,,1.0,2014-05-21,iPhone,0.0,False,100.0,2.64,5.0
Astapor,0,2014-01-10,4.8,1.21,2014-06-29,iPhone,21.4,True,28.6,3.42,5.0
King's Landing,10,2014-01-05,4.5,1.1400000000000001,2014-06-16,iPhone,22.9,False,62.9,1.6400000000000001,4.8
Winterfell,0,2014-01-18,5.0,1.17,2014-06-28,iPhone,33.3,False,66.7,4.43,4.7
Winterfell,0,2014-01-31,5.0,1.0,2014-05-24,iPhone,0.0,True,0.0,4.01,5.0
Winterfell,2,2014-01-21,4.0,1.0,2014-04-10,iPhone,0.0,True,50.0,2.1,4.4
Winterfell,2,2014-01-24,5.0,1.0,2014-01-25,iPhone,0.0,True,50.0,7.63,5.0
Winterfell,4,2014-01-31,4.5,1.0,2014-02-02,iPhone,0.0,False,0.0,1.8900000000000001,4.5
Winterfell,1,2014-01-26,4.0,1.0,2014-01-27,Android,0.0,False,100.0,3.18,5.0
Winterfell,1,2014-01-20,5.0,1.0,2014-05-18,Android,0.0,False,20.0,3.7199999999999998,5.0
Astapor,0,2014-01-11,5.0,1.0,2014-03-28,iPhone,0.0,False,100.0,3.8,4.7
Astapor,1,2014-01-12,5.0,1.0,2014-01-19,Android,0.0,False,0.0,18.03,5.0
Astapor,1,2014-01-14,5.0,1.0,2014-06-01,iPhone,0.0,True,30.0,2.92,4.7
King's Landing,0,2014-01-12,4.9,1.0,2014-06-25,iPhone,0.0,True,42.9,2.03,4.7
Astapor,1,2014-01-04,5.0,1.0,2014-01-04,iPhone,0.0,False,0.0,12.6,5.0
King's Landing,2,2014-01-31,5.0,1.0,2014-06-20,iPhone,0.0,True,42.9,2.86,5.0
King's Landing,5,2014-01-05,5.0,1.0,2014-06-28,Android,0.0,True,100.0,18.57,5.0
Astapor,2,2014-01-11,5.0,1.63,2014-01-12,iPhone,100.0,False,0.0,1.5,3.5
Winterfell,1,2014-01-06,,1.0,2014-01-07,Android,0.0,False,100.0,2.36,5.0
Winterfell,0,2014-01-20,5.0,1.0,2014-02-22,Android,0.0,False,100.0,1.73,5.0
Astapor,2,2014-01-30,5.0,1.0,2014-01-31,Android,0.0,False,100.0,3.37,3.5
Winterfell,0,2014-01-24,1.0,1.0,2014-03-14,iPhone,0.0,True,100.0,2.11,5.0
Astapor,0,2014-01-09,,1.0,2014-06-17,iPhone,0.0,False,100.0,5.45,5.0
Winterfell,1,2014-01-14,4.0,1.0,2014-01-15,iPhone,0.0,False,100.0,2.2,5.0
Winterfell,1,2014-01-31,5.0,1.0,2014-04-06,Android,0.0,False,50.0,3.88,5.0
Astapor,1,2014-01-07,2.0,1.0,2014-01-15,Android,0.0,False,100.0,9.77,5.0
Astapor,3,2014-01-25,4.5,1.0,2014-04-06,Android,0.0,True,0.0,1.75,5.0
King's Landing,1,2014-01-17,4.0,1.25,2014-01-18,iPhone,100.0,False,100.0,3.56,5.0
Astapor,0,2014-01-28,5.0,1.0,2014-03-18,,0.0,False,100.0,20.32,5.0
King's Landing,0,2014-01-05,5.0,1.0,2014-04-19,iPhone,0.0,False,75.0,14.37,5.0
Astapor,1,2014-01-30,4.0,1.0,2014-02-25,iPhone,0.0,False,100.0,4.46,2.0
Astapor,1,2014-01-15,4.0,1.0,2014-01-27,iPhone,0.0,False,100.0,12.52,5.0
Astapor,2,2014-01-02,3.9,1.02,2014-06-13,iPhone,3.5,False,69.0,4.2,4.6
Winterfell,1,2014-01-28,3.0,1.0,2014-03-17,Android,0.0,True,0.0,2.74,4.0
Winterfell,0,2014-01-01,,1.0,2014-05-06,iPhone,0.0,True,100.0,18.15,5.0
King's Landing,1,2014-01-04,5.0,1.0,2014-01-05,iPhone,0.0,False,0.0,7.54,5.0
Winterfell,0,2014-01-15,5.0,1.0,2014-05-25,iPhone,0.0,True,75.0,10.16,5.0
Winterfell,1,2014-01-01,,1.0,2014-01-26,Android,0.0,True,0.0,26.9,5.0
King's Landing,1,2014-01-01,5.0,1.05,2014-06-08,iPhone,20.0,False,20.0,3.15,3.8
Winterfell,1,2014-01-19,5.0,1.0,2014-01-19,iPhone,0.0,False,0.0,4.54,5.0
Winterfell,1,2014-01-11,,1.0,2014-01-14,Android,0.0,False,100.0,0.0,5.0
Winterfell,2,2014-01-11,5.0,1.0,2014-06-23,iPhone,0.0,True,33.3,8.91,5.0
Winterfell,0,2014-01-23,4.0,1.25,2014-05-17,Android,50.0,False,75.0,10.37,4.0
Winterfell,1,2014-01-29,,1.0,2014-01-29,Android,0.0,False,100.0,1.34,5.0
Winterfell,3,2014-01-25,4.5,1.0,2014-06-25,iPhone,0.0,True,20.0,4.42,4.5
Winterfell,4,2014-01-12,5.0,1.0,2014-01-16,iPhone,0.0,False,100.0,5.99,3.0
King's Landing,0,2014-01-09,5.0,1.04,2014-06-21,iPhone,14.3,True,42.9,1.78,5.0
Winterfell,1,2014-01-29,5.0,1.0,2014-02-21,iPhone,0.0,False,100.0,1.27,5.0
Winterfell,3,2014-01-27,4.0,1.0,2014-06-11,iPhone,0.0,True,62.5,8.0,4.8
Winterfell,0,2014-01-08,3.7,2.25,2014-03-02,iPhone,66.7,False,33.3,3.75,5.0
Winterfell,1,2014-01-26,5.0,2.0,2014-03-03,iPhone,50.0,False,0.0,1.38,4.0
Winterfell,0,2014-01-16,5.0,1.0,2014-05-16,iPhone,0.0,False,100.0,4.58,5.0
Winterfell,22,2014-01-11,4.6,1.02,2014-06-29,iPhone,2.7,True,83.8,2.34,4.6
King's Landing,1,2014-01-17,5.0,1.0,2014-06-27,iPhone,0.0,False,100.0,27.32,5.0
Winterfell,2,2014-01-27,4.6,1.0,2014-05-20,iPhone,0.0,False,57.1,2.5,4.5
King's Landing,2,2014-01-12,4.5,1.2,2014-06-29,iPhone,26.1,True,52.2,6.87,5.0
Winterfell,0,2014-01-06,5.0,1.0,2014-05-12,iPhone,0.0,False,66.7,5.28,5.0
Astapor,0,2014-01-09,5.0,1.0,2014-05-27,iPhone,0.0,True,100.0,2.09,5.0
Winterfell,0,2014-01-22,5.0,1.0,2014-06-18,iPhone,0.0,False,100.0,3.69,5.0
Astapor,3,2014-01-19,5.0,1.0,2014-01-26,Android,0.0,False,0.0,2.52,5.0
Winterfell,1,2014-01-24,,1.0,2014-01-26,iPhone,0.0,False,0.0,14.93,5.0
Astapor,0,2014-01-06,5.0,1.0,2014-05-09,Android,0.0,False,100.0,11.78,5.0
Winterfell,0,2014-01-14,5.0,1.0,2014-05-14,iPhone,0.0,False,100.0,16.88,3.0
King's Landing,0,2014-01-17,5.0,1.0,2014-06-29,iPhone,0.0,False,0.0,2.34,5.0
Winterfell,0,2014-01-10,5.0,1.0,2014-02-10,iPhone,0.0,False,100.0,0.89,3.0
Winterfell,1,2014-01-18,5.0,1.0,2014-01-19,Android,0.0,False,0.0,3.07,5.0
Astapor,7,2014-01-18,4.3,1.04,2014-06-20,iPhone,7.1,False,57.1,3.81,4.9
Winterfell,1,2014-01-24,,1.0,2014-01-24,iPhone,0.0,True,100.0,19.77,4.0
King's Landing,0,2014-01-11,4.5,1.5,2014-06-27,Android,50.0,False,50.0,2.7,4.5
Winterfell,8,2014-01-06,4.7,1.0,2014-06-28,iPhone,0.0,True,72.2,2.66,4.3
Winterfell,1,2014-01-20,5.0,1.75,2014-02-16,Android,100.0,False,0.0,2.6,5.0
King's Landing,0,2014-01-28,,1.0,2014-06-14,Android,0.0,True,100.0,12.21,5.0
Winterfell,6,2014-01-19,4.9,1.04,2014-06-29,iPhone,7.7,False,0.0,2.34,4.8
Winterfell,1,2014-01-25,4.3,1.13,2014-05-18,Android,25.0,True,25.0,10.61,5.0
King's Landing,0,2014-01-18,,1.0,2014-03-31,iPhone,0.0,False,0.0,7.89,5.0
Astapor,2,2014-01-29,,1.0,2014-05-05,iPhone,0.0,False,100.0,5.31,5.0
Winterfell,0,2014-01-18,4.6,1.0,2014-06-29,Android,0.0,False,40.0,1.69,5.0
Astapor,3,2014-01-24,4.8,1.0,2014-06-28,iPhone,0.0,True,39.1,5.04,4.9
King's Landing,0,2014-01-24,5.0,1.0,2014-06-28,iPhone,0.0,False,100.0,6.8,5.0
Winterfell,0,2014-01-06,5.0,1.0,2014-05-22,iPhone,0.0,True,100.0,17.87,5.0
Astapor,1,2014-01-18,5.0,1.0,2014-05-17,Android,0.0,True,0.0,24.43,5.0
King's Landing,2,2014-01-25,5.0,1.04,2014-06-30,iPhone,4.9,False,46.3,2.69,4.7
Winterfell,1,2014-01-06,1.0,1.0,2014-01-06,iPhone,0.0,True,100.0,18.61,2.0
Winterfell,1,2014-01-28,,1.0,2014-06-12,iPhone,0.0,True,100.0,9.31,4.0
Winterfell,4,2014-01-19,5.0,1.0,2014-06-29,iPhone,0.0,True,45.5,7.17,4.3
Winterfell,0,2014-01-05,5.0,1.0,2014-04-30,Android,0.0,False,100.0,12.96,5.0
Winterfell,0,2014-01-24,,1.0,2014-03-26,iPhone,0.0,False,100.0,10.68,5.0
Winterfell,0,2014-01-01,4.0,1.0,2014-06-29,Android,0.0,True,42.9,1.62,5.0
Astapor,1,2014-01-24,4.5,1.0,2014-04-16,iPhone,0.0,False,100.0,7.6,5.0
King's Landing,6,2014-01-26,5.0,1.09,2014-06-28,iPhone,18.2,False,45.5,1.53,4.8
Astapor,1,2014-01-18,,1.0,2014-01-18,Android,0.0,False,0.0,5.72,5.0
Astapor,2,2014-01-26,5.0,1.0,2014-06-21,iPhone,0.0,False,33.3,16.19,4.3
Astapor,0,2014-01-10,5.0,1.0,2014-05-26,iPhone,0.0,False,100.0,3.2800000000000002,5.0
King's Landing,2,2014-01-20,,1.0,2014-06-16,Android,0.0,False,100.0,12.45,4.8
Astapor,5,2014-01-25,4.4,1.0,2014-06-26,iPhone,0.0,True,87.5,6.46,4.9
Winterfell,0,2014-01-01,5.0,1.13,2014-05-18,iPhone,25.0,False,25.0,5.05,4.3
Astapor,2,2014-01-22,4.5,1.08,2014-05-16,iPhone,16.7,True,83.3,13.83,4.8
Astapor,1,2014-01-08,4.0,1.0,2014-01-09,Android,0.0,False,100.0,3.42,5.0
Winterfell,0,2014-01-30,5.0,1.38,2014-05-04,iPhone,50.0,False,50.0,3.04,5.0
Winterfell,0,2014-01-11,,1.0,2014-03-27,iPhone,0.0,True,100.0,17.04,5.0
Winterfell,1,2014-01-26,4.5,1.0,2014-06-21,iPhone,0.0,False,50.0,19.07,5.0
King's Landing,2,2014-01-08,5.0,1.0,2014-01-09,Android,0.0,False,100.0,1.13,5.0
Astapor,1,2014-01-04,,1.13,2014-03-28,Android,50.0,True,50.0,2.8200000000000003,4.0
Winterfell,2,2014-01-26,5.0,1.0,2014-03-03,iPhone,0.0,False,100.0,8.09,5.0
King's Landing,1,2014-01-24,,1.15,2014-06-25,iPhone,20.0,True,100.0,3.34,5.0
King's Landing,0,2014-01-01,,1.0,2014-06-01,Android,0.0,False,0.0,20.03,5.0
Astapor,1,2014-01-16,,1.0,2014-01-17,iPhone,0.0,False,100.0,5.38,5.0
Astapor,1,2014-01-17,5.0,1.0,2014-01-18,iPhone,0.0,False,0.0,10.73,5.0
Winterfell,0,2014-01-03,5.0,1.0,2014-04-24,iPhone,0.0,False,100.0,17.63,5.0
Winterfell,1,2014-01-10,3.0,1.0,2014-01-11,Android,0.0,True,100.0,6.2,3.0
Astapor,0,2014-01-19,2.7,1.0,2014-05-19,iPhone,0.0,True,45.5,4.5600000000000005,4.9
Winterfell,4,2014-01-17,4.2,1.0,2014-06-23,iPhone,0.0,True,45.5,2.99,4.3
Winterfell,2,2014-01-10,5.0,1.0,2014-06-26,iPhone,0.0,False,87.5,3.56,5.0
Winterfell,0,2014-01-11,5.0,1.0,2014-06-11,iPhone,0.0,True,100.0,1.5899999999999999,5.0
Winterfell,2,2014-01-08,4.0,1.0,2014-01-09,iPhone,0.0,False,100.0,0.68,5.0
King's Landing,3,2014-01-31,4.3,1.0,2014-02-10,Android,0.0,True,66.7,9.15,5.0
Astapor,5,2014-01-01,4.5,1.0,2014-04-06,iPhone,0.0,False,44.4,5.76,5.0
Winterfell,5,2014-01-18,4.6,1.0,2014-06-27,iPhone,0.0,True,55.6,3.19,4.7
